name,area,food,takeout,url
欧風イタリア食堂グラッチャーノ,清水・日高・乃万,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=59
しまなみフレンチ　Filer,しまなみ（大島・伯方島・大三島・関前）,洋食・レストラン,なし,https://imabari-pcoupon.jp/kamei/?id=60
もりもとや,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=61
お好み焼きさくら,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=62
焼肉千草,しまなみ（大島・伯方島・大三島・関前）,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=63
らーめん工房りょう花今治店,常盤・日吉,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=64
Red Pepper's Club とんがらし,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=65
お好み焼　たんぽぽ,しまなみ（大島・伯方島・大三島・関前）,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=66
ぎやまん亭,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=67
居酒屋和楽,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=68
炉満亭,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=69
若味鳥,波止浜・波方・大西,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=70
カフェ　アンフィル,しまなみ（大島・伯方島・大三島・関前）,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=71
コスタメサ,常盤・日吉,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=72
中華料理　福龍,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=73
大三島ブリュワリー,しまなみ（大島・伯方島・大三島・関前）,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=74
和心料理無垢,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=75
八将,菊間・玉川,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=77
ラーメン　なる,清水・日高・乃万,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=78
咖喱屋CAFEエポック,菊間・玉川,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=79
わんず,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=80
湯ノ浦温泉　四季の湯ビア工房,桜井・国分・朝倉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=81
MOTSUNABEYA つぼ吉,美須賀・城東,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=82
焼き鳥の店 世渡,美須賀・城東,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=83
和風食彩　たわら,清水・日高・乃万,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=84
こきんや,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=85
いちりき,桜井・国分・朝倉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=86
海宿千年松,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=87
cafebarSenho,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=88
千倉,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=89
天馬,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=90
ファミリーパーク志満,桜井・国分・朝倉,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=91
旬風　とうま,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=92
焼酎ダイニング子子子,常盤・日吉,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=93
旬彩酒房 わらじ,立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=94
得得　今治店,美須賀・城東,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=95
歌舞伎寿司,美須賀・城東,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=96
炭火焼き鳥の店ういち,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=97
来島海峡サービスエリア　OLAOLAカフェ,波止浜・波方・大西,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=98
JiBaカフェ能島,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=99
しまなみ風のレストラン,波止浜・波方・大西,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=100
中華料理　榕城,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=101
ボヌール　ブッソール　3373,近見・別宮,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=102
割烹ゆき,常盤・日吉,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=103
季節料理福扇,清水・日高・乃万,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=104
福ろう,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=105
喫茶モードリン,美須賀・城東,喫茶・カフェ,あり,https://imabari-pcoupon.jp/kamei/?id=106
居酒屋のら,立花・鳥生・富田,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=107
からたち,立花・鳥生・富田,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=108
コリアタウン,立花・鳥生・富田,ファストフード・その他,あり,https://imabari-pcoupon.jp/kamei/?id=109
中国料理　白龍,立花・鳥生・富田,中華料理,あり,https://imabari-pcoupon.jp/kamei/?id=110
道の駅今治市多々羅しまなみ公園,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=111
CHANCE,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=112
スナック桃山,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=113
レストラン シャン・ドーレ,常盤・日吉,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=116
炭火やきとり　鳥や　やきとり物語　今治中央店,常盤・日吉,居酒屋・バー,あり,https://imabari-pcoupon.jp/kamei/?id=117
道の駅よしうみいきいき館,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=118
焼肉　大栄,常盤・日吉,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=119
泰平,美須賀・城東,居酒屋・バー,なし,https://imabari-pcoupon.jp/kamei/?id=120
焼肉遊山,立花・鳥生・富田,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=121
道の駅伯方S・Cパーク　マリンオアシスはかた,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,なし,https://imabari-pcoupon.jp/kamei/?id=122
石のカフェ,しまなみ（大島・伯方島・大三島・関前）,喫茶・カフェ,なし,https://imabari-pcoupon.jp/kamei/?id=123
ホルモン料理　呉本屋,立花・鳥生・富田,焼肉・鉄板料理,あり,https://imabari-pcoupon.jp/kamei/?id=124
BISTRO himaru,清水・日高・乃万,洋食・レストラン,あり,https://imabari-pcoupon.jp/kamei/?id=125
喜船,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=126
みなとや,しまなみ（大島・伯方島・大三島・関前）,和食・鍋,あり,https://imabari-pcoupon.jp/kamei/?id=127
